request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
8da926b4-add7-440e-a886-67212a765989,2c350873-4316-4ff3-9651-e6ae5a916617,521567.720357874,521567.893411152,521570.73154003196,69,350,0.17305327800568193,2.8381288799573667
60cd4dfc-2de7-46e3-b52d-7fa89120c7e5,6757922a-b0b7-46e9-a4eb-79e1bc479cb4,521567.742138237,521567.894690427,521570.777706236,170,350,0.15255219000391662,2.883015808998607
680c0c31-9b28-4d77-a59c-baeb780c8ec6,7b91d0bb-58f1-460a-93ea-409be41382ac,521568.851429102,521568.958781866,521571.813405506,229,350,0.10735276399645954,2.8546236400143243
bda485ff-6213-4fbf-98d7-81493b4ba51b,846ee8ff-f0a5-4c7d-813f-8f3f14feff64,521569.241344188,521569.54889582,521572.45397535904,94,350,0.3075516319950111,2.905079539050348
d0dfcf24-c763-432d-8027-f50942b91379,dd2b9fde-d404-4538-871e-d9d74d11adc6,521567.173998453,521567.330168251,521572.623544742,109,350,0.15616979799233377,5.293376490997616
c6bac79b-0616-4e5e-be10-3c0e6d12ff0f,c4473df8-8269-4064-b4a7-5d82e07032a8,521565.514615019,521567.366802824,521572.623683998,152,350,1.8521878049941733,5.2568811739911325
6343d2d3-c04a-4ad1-bf60-b85fc4f227a7,36df6714-bc3d-4e70-b3f7-a1506cbe5d0e,521568.03425317,521568.157520044,521572.69402322697,99,350,0.12326687399763614,4.536503182956949
e54f6dcb-553a-4c6b-93cb-bb72c58073ba,25b35d94-a1e6-418b-8d44-e996225042c3,521571.067958654,521571.15383466403,521574.14228689,341,350,0.08587601000908762,2.988452225981746
821d1877-4e58-4d59-84bb-e5001e432b29,4f120bf2-fc80-42c4-b548-73ebd5c59e9f,521568.347590986,521568.625281816,521574.383610285,111,350,0.27769083000021055,5.758328469004482
953a9f8d-f635-49e6-800a-3ab3eda0359f,b56a1575-401c-4d99-9ac8-86c3c81cf206,521571.510190067,521571.756751745,521574.734941237,373,350,0.24656167801003903,2.9781894920160994
db8014f2-0bde-4e63-aed2-2064227e4bfd,241f2a2c-fe51-4eb3-9c4a-d9c22cef1513,521571.83488827,521571.92275648104,521574.899767043,77,350,0.08786821103421971,2.9770105619682
5ad77002-cf2c-4873-8685-82300c3b2e46,94bd1f87-bc99-4ca2-a422-fa5a3fc9205c,521571.774015561,521572.082939556,521575.077649532,68,350,0.3089239950058982,2.994709976017475
8fa1db96-cb4e-456f-b087-120f2a055204,a561d348-9f17-49f8-85f2-3f0217add44c,521572.199601312,521572.532311571,521575.494804098,452,350,0.3327102590119466,2.962492526974529
b1835bd8-7316-4a9d-8fb9-561bbed3721a,b9292e55-bc3a-43d6-9153-0587e1972045,521572.512181235,521572.608034037,521575.587080223,140,350,0.09585280198371038,2.9790461860247888
4c88cc9b-253b-4c37-a45a-bec48d3dd013,2c24ff88-1959-4448-9461-a6221a444fe5,521572.313449226,521572.67473567,521575.65576024,352,350,0.3612864439492114,2.9810245700064115
3f3f2127-33b5-4fa0-9864-437c68aea517,953eb8ca-6c36-456a-8757-7ccd043b6681,521572.338675133,521572.73555071105,521575.69939734,102,350,0.39687557803699747,2.963846628961619
