request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
6036ee88-bcd7-4f50-8b2e-1797735e885c,b87d1b47-75a0-4129-8580-a96e0868928f,793854.09050125,793855.4217330541,793856.5226122601,5528,47,1.331231804098934,1.1008792059728876
4bb1d0a7-da49-4c6a-a099-306deeaed37c,1cf5c436-bb75-402c-9dfd-fae7395bc0a0,793857.068883021,793857.897978051,793862.297641064,573,200,0.829095029970631,4.399663013056852
882a2bfd-4fb2-4b89-929f-ea7ce453c7b7,f59505d6-2c8a-4269-b06b-4a09a34c57e0,793855.614831467,793857.8119310901,793862.297856117,5870,200,2.197099623037502,4.485925026936457
d79ccb73-ef8a-40c9-9dea-85106619c0ac,c8ae7276-50d3-44bc-9777-36df0eb5b9e7,793854.090476941,793855.6379089539,793862.480533415,1170,200,1.547432012972422,6.842624461045489
28116594-b7bb-49bb-a846-4eef7b1a4e7d,7566167e-bf47-4f1f-b7d0-e3cef448181a,793854.090563044,793855.877159729,793862.6315596809,2344,200,1.7865966850658879,6.75439995189663
f4689073-0ac0-4365-af3f-700f602bb3e0,e89d00a2-aef6-4faf-a8f6-58052acdc0b2,793854.557739863,793856.2709559661,793863.201489108,3458,200,1.7132161030313,6.930533141945489
6c54d701-bb2e-4162-b25c-2a34ef471696,9728b43f-13e5-4f1c-b6d4-40db13828d76,793859.134080849,793861.41618324,793863.192013993,6542,47,2.2821023910073563,1.7758307530311868
51f5b8b4-af82-473e-a55a-220bf01ad215,a1329327-31f8-4e0e-8c96-d4c38c61242d,793854.090571861,793856.206899927,793863.705328856,1706,176,2.1163280659820884,7.498428929015063
034264d9-256f-41bc-9da1-69457501be78,5363cb6c-edd6-43d7-9a0e-58df46053aa0,793854.090446106,793856.217447254,793864.013105069,6179,181,2.127001147950068,7.795657815062441
6d202937-0213-4edf-916d-c84d9c57fd79,e2bb5c6d-8f13-4395-8e28-67275d11e72f,793857.676261017,793860.157052402,793864.005120712,3528,108,2.4807913850527257,3.8480683099478483
74078e75-b1c9-4c89-bb66-906f39544845,0fc32f2f-3791-4f05-a896-da6268fe53f9,793855.793766851,793856.964354974,793864.4586770401,4366,200,1.1705881230300292,7.494322066078894
a7b6abdd-01bf-4351-a47d-b5c9890a0550,db7e9f5d-8a61-4add-b03f-97cfb3b8ea31,793854.090489625,793856.2110511049,793864.50185505,2053,193,2.120561479940079,8.290803945041262
424a95b2-4254-4ab6-ba4e-e106707deeed,586ddd63-a522-48ce-ae0d-777af55d3cac,793854.090601898,793856.273617748,793864.430779753,6349,190,2.1830158500233665,8.157162004965357
c6d7e90c-11a9-4d75-bb0b-5a891a6c1d76,9751aa65-dcbb-464d-885d-1feaba1a4819,793858.583455012,793861.006788187,793864.540031819,3777,130,2.4233331750147045,3.5332436320604756
b8715ad2-c125-4c4b-acf1-d84b744de294,169bfd1c-b54b-4a03-b40f-5a304abd2cb8,793854.090533871,793856.198042942,793864.831622424,3959,200,2.107509071007371,8.633579481975175
0e0d473b-7bcf-44e8-b71d-9afb54c224d6,4181337f-4f55-4fd6-8fbd-e067aaaaebe3,793854.090520501,793856.210725944,793864.845471004,6275,200,2.120205443003215,8.634745060000569
679df5f7-60b1-4a79-ab06-3776c6e2a52d,a5fcfe4e-eb51-4ac0-b8bc-d87496e3d9cb,793851.065384776,793856.218016832,793864.851978917,1428,200,5.152632056036964,8.633962085004896
5fb568c5-3914-4987-a5bd-95f4fff232b2,2578c165-88d2-4fcf-8239-ee23a11cde02,793854.09060842,793856.2061543419,793864.905293462,6458,200,2.115545921958983,8.699139120057225
172c6ae7-3804-4b28-bd78-04b9a668210d,14a415ae-d933-42c2-ba6d-1348294d8e80,793854.090554645,793856.1969814551,793865.0472615111,1898,200,2.1064268100308254,8.850280056009069
