request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
06f1b986-5183-4c7b-a817-16dbf9668803,bcb9a03c-7a7d-4221-8d1f-5f52836f8b7c,826552.739807576,826555.1620397861,826555.856923857,2387,25,2.4222322100540623,0.6948840708937496
4cebe610-ef06-44cc-b570-a5f486bee58c,e2bb5c6d-8f13-4395-8e28-67275d11e72f,826550.806480721,826554.182428445,826555.995934332,3528,49,3.3759477239800617,1.813505887053907
a10c8a9f-8174-4e52-8b20-8dacbe463986,7566167e-bf47-4f1f-b7d0-e3cef448181a,826550.700492039,826552.079509761,826556.9888067229,2344,200,1.3790177219780162,4.909296961966902
b90ce46e-956f-4644-8710-558ca6aace51,14a415ae-d933-42c2-ba6d-1348294d8e80,826550.700475852,826552.373235845,826557.491202783,1898,200,1.6727599930018187,5.11796693794895
683eeb63-d9bf-4da8-a281-ca982375026c,162bb746-0925-436c-8c6b-25f181810fb2,826550.806487475,826553.172219125,826558.254827782,2542,200,2.3657316499156877,5.082608657074161
3de82bec-d71f-4f87-8ee4-b435c2fddcb4,c7558f93-f86c-4355-a7b9-c08b9ddff562,826553.745820248,826557.247716838,826559.2083447439,5876,59,3.5018965899944305,1.9606279059080407
c8aa80ab-99c8-459f-a25c-b7ff95bcb335,6ccb629d-90a9-4625-b6a2-eeeb27f2e288,826550.70061573,826551.9054846901,826559.3232285321,1214,200,1.2048689600778744,7.417743842001073
e9f7ce33-08d2-4bec-a517-8d8edc880cc2,2c6c787f-ce0d-46f8-8c82-65f2ac219c19,826553.74579263,826555.481463692,826559.35549804,6270,102,1.7356710620224476,3.8740343479439616
76576b5f-31f4-44d9-a8eb-51e750bbb035,13c8030e-be08-44bc-b1d5-1304416e7a6e,826552.739802012,826554.7154246019,826559.9086181789,5887,200,1.9756225899327546,5.193193576997146
cd6db775-72af-45a0-992c-6295719bdc60,db7e9f5d-8a61-4add-b03f-97cfb3b8ea31,826547.524645815,826549.0036110061,826556.8350136881,2053,200,1.478965191054158,7.831402682000771
a1731529-7937-4c04-8980-83fc997a12c5,a5fcfe4e-eb51-4ac0-b8bc-d87496e3d9cb,826547.524601317,826551.730073062,826560.226768915,1428,200,4.205471744993702,8.496695852954872
3f59e044-c1fd-4f4b-bbf0-20d3eb572e81,f48f3c83-7b8a-45e5-a0fa-74a6e92599d8,826554.952571754,826558.149536954,826560.1791934479,6237,54,3.1969652000116184,2.0296564939199015
43597f7e-83ae-4105-8daf-aa21e0b3efb5,169bfd1c-b54b-4a03-b40f-5a304abd2cb8,826547.524665608,826549.331100671,826557.139300305,3959,200,1.8064350630156696,7.808199634077027
fe79f2d7-caf2-4d1d-a5f9-2276e0cf1905,5fcd7bbd-da7e-4afa-95ef-18c316df5c14,826550.700683627,826554.547446999,826560.6790077069,6292,144,3.8467633719556034,6.1315607079304755
e729c4a9-1fd0-43c2-8c8c-3584e60ef53e,32379e4f-c52b-4533-87e4-7ccbc01e4871,826550.700606366,826551.917247356,826560.993131149,2551,200,1.2166409899946302,9.075883792946115
5d306181-1f92-4efb-8390-c44dc74904d5,c8ae7276-50d3-44bc-9777-36df0eb5b9e7,826547.524641397,826548.846688317,826557.944727626,1170,200,1.3220469200750813,9.098039309028536
