request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
3a6dc1f6-a153-46db-af23-626f4530fc82,d0358cd0-56e7-483c-8c2e-0cd206961b7a,518859.056521642,518859.201018236,518861.97479358,17,300,0.14449659397359937,2.7737753440160304
58530483-2f65-4587-bbbc-7a82c1268814,ff2d3cc2-7083-492f-86a0-ff23f03e6ae9,518859.156159895,518859.30187872,518862.03253203403,6,300,0.1457188249914907,2.730653314036317
f812597a-e2e7-40a7-a0b0-11da746297a2,de042338-0d97-4230-aa9d-f6e387dcbadb,518859.201209076,518859.35952915996,518862.12796048995,14,300,0.15832008398137987,2.7684313299832866
3894f432-59df-4958-a2db-cf7f3b54735a,8247ff88-d867-4e2e-b536-a869b8fdeef8,518859.510864684,518859.584092087,518862.36778820603,17,300,0.07322740298695862,2.783696119033266
9563f59e-515f-4f27-8e52-cce233ec80e6,af2ded69-d365-4a25-8686-97a85f4ef7cb,518859.701441463,518860.022803265,518862.85109830403,315,300,0.3213618019944988,2.828295039013028
31b1ab96-40f1-409a-b8a3-8fc2f302615c,c83370c9-cebc-43cc-b0fb-9adf794d64d3,518860.01782493,518860.136204092,518862.975529404,24,300,0.11837916198419407,2.839325312001165
55b831d3-e706-4f2f-b180-7305d3791b6b,f993c3d4-74ea-4da4-8993-5e96f2404dae,518858.138216167,518859.200123883,518863.532696273,92,300,1.0619077160372399,4.3325723899761215
88da5e3c-290a-48f7-bf99-23c82e1f9cb4,3cde45f0-4dbe-42bc-9245-79a7fa967161,518860.689158655,518860.97343080904,518863.688821338,17,300,0.2842721540364437,2.715390528959688
dc7a833b-84a5-459d-81eb-49635ad3abaa,badc82da-86b2-4074-bddd-753ffef9d74c,518860.74066845,518861.057106097,518863.794581816,112,300,0.3164376469794661,2.7374757190118544
2cefca25-4717-4c09-ac5d-d785ade1d858,ac3fd155-a4e2-442b-9b90-de591f14135d,518861.027836383,518861.522340633,518864.19600935094,12,300,0.49450425000395626,2.6736687179654837
a27040f2-528d-473c-966b-ea2cae5dda80,19d13522-39fe-4f4c-8f6d-9c139e76f99f,518861.083304555,518861.59864799696,518864.28200761793,987,300,0.5153434419771656,2.683359620976262
06a30711-6eac-4153-b169-8568c627fe8a,e5a32151-e095-4d41-9bf2-01e86a5b4b87,518861.161785975,518861.749409827,518864.314472427,956,300,0.587623852014076,2.5650626000133343
ec1f418d-6df1-48fa-907e-efb6314c3f24,14ede5b4-d778-4a9a-bed7-16313c5c4aa6,518861.640509531,518861.79657515,518864.420057856,99,300,0.15606561896856874,2.623482706025243
2d81a419-c05a-4a7d-a402-f785baeac440,79ae2e62-6443-4d74-ab74-bebea0ed0446,518861.28201186,518861.778682242,518864.400666666,361,300,0.49667038198094815,2.621984424011316
888dfba1-53cf-462e-b616-9a2ca09db8fc,cc11b81c-eb09-4f10-8e05-6a369a13eda0,518861.663208296,518861.799369928,518864.420417501,3,300,0.13616163202095777,2.6210475729894824
df71b9b5-bebb-43e5-a1a0-f3b5a158f8b5,aa7b8f68-d675-402e-8d41-d2ce8092072b,518861.369553386,518861.780080366,518864.400396484,102,300,0.41052698000567034,2.620316118001938
f43be364-63e3-4bda-bd05-d594c30467d1,5016e614-57ea-4842-b9cb-2f612eee34fe,518862.086564359,518862.25303992204,518864.83620487904,15,300,0.16647556301904842,2.5831649570027366
96cdb4ec-05be-46af-b5f8-85c07b7430a1,833a8be3-df7b-4370-aad9-1caae894fd42,518859.261868616,518859.426570306,518865.25704304397,22,300,0.16470169002423063,5.830472737958189
8f01399d-290a-4f80-9431-4b341d164aab,d61e4d38-38c0-437d-a1e0-281a5eb8bbb8,518862.616023013,518862.709841067,518865.281886142,32,300,0.09381805395241827,2.5720450750086457
56b221fe-68e7-42aa-8f20-bae9c3b343f8,91d2443e-ed05-4297-ac57-09f1e90cea0b,518862.838451312,518862.92971254996,518865.519564442,11,300,0.09126123797614127,2.589851892029401
678538cf-77e8-4b79-8dfd-b10c9c9fd480,947690c1-fb7f-4e2d-a712-f4761816410e,518863.054084316,518863.18896103,518865.725356411,17,300,0.1348767139716074,2.536395381030161
c5ade517-074d-4ac9-8cfc-be214c963513,822a2961-a73c-4b0c-b62e-17695de39be1,518860.971903628,518861.42453804193,518866.13627006696,15,300,0.45263441395945847,4.711732025025412
0662f843-29f4-40bb-b984-507976bcff6f,592dbc64-0506-4107-9795-d33f9f6a1660,518863.484371354,518863.59677613,518866.180090507,418,300,0.112404776038602,2.583314376999624
12512431-dd47-4d12-9f0b-0894c9d4b779,cffaf4c3-203b-4200-949b-1827bd262d7b,518863.686203842,518863.84652422,518866.405387497,69,300,0.16032037802506238,2.558863276964985
7a9ba3a5-2a60-4562-b461-35a800b885ce,512cdb96-9563-4547-aeff-6723bb86f9d7,518861.618141623,518861.79747161595,518866.47474813095,13,300,0.1793299929704517,4.677276514994446
dbad66e5-d03b-41e7-9b03-83ac7b21263b,4b76c39e-01f3-464f-90e9-6cd82f618de9,518859.673628693,518860.214300908,518866.809992219,2376,300,0.54067221499281,6.595691310998518
3930d30d-bc88-44a4-86cf-758dc83539a4,d77ad684-00e0-43a8-9406-f16ca2afa455,518864.361988781,518864.469798915,518867.01480587,21,300,0.10781013395171613,2.5450069550424814
263802e1-6370-4aa1-b8f9-ccc4e6bb631c,e5824d36-d5e3-470b-b9a7-3c551c8b8742,518864.603928124,518864.707872232,518867.304941154,2,300,0.10394410800654441,2.597068922012113
79dc841c-3d5f-42e9-9c6c-1e1fdfd9399a,798ca74f-e47d-4f78-8886-ddce3073cc89,518864.936874289,518865.075307604,518867.677017081,15,300,0.13843331497628242,2.601709477021359
98bc2488-8060-40fb-8d3d-eebd8e1b1966,4ac505b0-7343-4c77-aa54-208f23a09f7d,518862.676095725,518863.48250288697,518868.04998953297,1681,300,0.806407161988318,4.56748664600309
