request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
cf07508c-da36-4f98-a324-76655986fb45,68819ccc-d8b1-41e4-8294-67353f228468,427035.691708084,427035.820161422,427038.306276931,1010,300,0.1284533379948698,2.4861155090038665
93ad8942-b98c-4464-bb48-2b67e3618d9d,8ab3f56f-8f4b-43dc-82e9-8e09fe22fe0d,427035.944814235,427035.96877565194,427038.44297521596,20,300,0.02396141696954146,2.4741995640215464
eeecdff4-bd5d-46b0-a32d-2f3eb8a6be86,fcbcee53-eb2c-4bf6-a0b4-9ecc67a56fc6,427036.107775303,427036.175848488,427038.699349747,14,300,0.06807318498613313,2.5235012589837424
f8d5a31f-43a0-42df-b18f-179e82e657af,549b3984-4ac9-4183-842c-69a3c474a684,427034.540139157,427035.78025162796,427039.58781180496,4,300,1.2401124709867872,3.8075601769960485
7be3c9be-7717-4946-a98b-d15543837343,b6e01453-0ab1-4ce4-96e1-e7a753fe2453,427036.868535819,427037.04764885,427039.613411865,10,300,0.1791130310157314,2.565763015008997
1c89ef14-45d2-42eb-a2c8-1d077fcc16c2,a0f529e8-be07-4b42-9d1b-27c3ceb993bf,427037.254706855,427037.456514759,427040.010486346,315,300,0.20180790399899706,2.5539715869817883
3c22e3a3-8d40-4b99-a5b4-4c18d2a07067,2b5c7205-3359-4720-aa4e-328fb4bc1488,427037.900154269,427038.175695325,427040.79575815605,32,300,0.27554105600574985,2.6200628310325556
ab82d701-0c35-41e7-9db8-45acbc1ef818,9cee4dd0-79d1-4111-a320-55534c8648e1,427037.971471523,427038.200893635,427040.80559846596,302,300,0.2294221119955182,2.6047048309701495
400acb67-fb24-4035-bc81-6c607a5b3a0b,4078c5f4-89c9-4009-b381-dc7953491b52,427039.101491903,427039.24372909503,427040.858347018,599,181,0.1422371920198202,1.614617922983598
3a52f28a-c518-465b-9ce6-b616ab8a4fbd,51cd4dec-b0bb-46b2-bb74-1f807f59927a,427036.288784263,427036.42172445403,427041.07230269304,182,300,0.1329401910188608,4.650578239001334
1545ac9e-61ec-4dd9-adbf-68f4faf882ba,e02283c4-e7c3-42e4-8e0a-a6bddca0beb3,427038.37704117,427038.49732413504,427041.134686893,31,300,0.12028296501375735,2.6373627579887398
e1138d26-7048-4b61-beb6-56ab54c86fcd,f2c7ca56-d184-487d-832e-5b467839197d,427037.278893206,427037.479675882,427041.32939841197,68,300,0.20078267599456012,3.849722529994324
13b91b5d-09ad-46fd-a064-6ed9f922c104,048e3285-5aea-4e88-a156-7d1f629dd0f4,427038.218998266,427038.661940082,427041.34198588296,9,300,0.4429418159998022,2.680045800982043
b854a10c-f11b-4070-9d97-260de8a84f21,0697ef10-e698-4b81-9cbf-51ca38bd83e5,427037.30562802,427037.50195051404,427041.38775428,19,300,0.196322494011838,3.885803765966557
