request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
3f87b70e-f12c-4ef0-99ae-9b59ced7df50,4f7c9269-b1af-4c9d-87a1-d23c821f336c,367289.43597643,367289.77224539,367294.808453562,35,300,0.3362689599744044,5.036208171979524
067ed2fd-8748-4092-b715-99a9bd37ac8a,0963c880-368d-40df-abbe-805fa6fa9aa2,367289.639805416,367289.80535831203,367297.394453352,22,300,0.1655528960400261,7.589095039991662
59cfd3ac-a4b1-4ff9-9c80-1a014f090b34,1e8a654e-b3a9-4768-9e8b-eac5f74f2748,367289.664067411,367289.954078156,367297.528996034,9,300,0.29001074499683455,7.57491787802428
cb7e628c-73e4-4201-8647-72c2bd2ae8f0,cd3348d6-aaf0-4e04-8d30-1ddfa5db62e5,367289.633451684,367289.954304449,367297.52912382205,1010,300,0.32085276499856263,7.574819373025093
33b8769a-f1e5-4212-8408-29a8949abdb9,33a88594-c775-4c3b-9d71-aa05683d7559,367289.992990973,367290.167564921,367297.768522556,413,300,0.1745739480247721,7.600957634975202
e49a8d3f-91ba-4970-8b3e-191a7493bb7d,909102aa-53ef-4084-8a64-e8b6e7b0da2b,367290.325453895,367290.37768631405,367298.046127849,16,300,0.0522324190242216,7.668441534973681
88ace243-3ce5-4163-904f-a0ffdb5f8d01,37ba44d2-5b38-489b-a051-425b094c6d99,367290.325363754,367290.378709716,367298.04759718804,135,300,0.05334596202010289,7.668887472013012
67ecbc27-3f56-4d00-b111-883503ffb830,db5c4590-17ec-4ae8-8830-1321eab892f3,367290.32938872,367290.89263719897,367298.063101789,44,300,0.5632484789821319,7.170464590017218
c4e754ca-ed89-4f51-888f-fe8df253b374,fa069551-687b-41ef-9259-16ab381fe7b3,367291.377836126,367291.54374337103,367298.271010217,22,300,0.16590724501293153,6.727266845991835
abd872f6-3d2a-4aff-851b-ea2b1f53d46f,036f8c61-2af3-4995-a707-97ee6f4071be,367292.694599294,367292.80551085,367299.34674571897,8,300,0.11091155599569902,6.541234868986066
eefcf696-0c78-478c-8bcf-c37db3b95e30,3d0103a4-dee8-400c-9f49-3d9b4c9ef818,367292.696929485,367292.80494241096,367302.137591266,10,300,0.10801292594987899,9.332648855051957
9d6d6722-e181-470a-a4e3-12d4b914fdfc,76703c99-507d-44a4-8c7e-90507d7dc768,367292.697008651,367292.804875839,367302.18326443597,57,300,0.10786718799499795,9.37838859698968
6b99ef59-4df5-4264-a575-0f80d8d229f5,ad6ecb4f-090f-4727-a5d6-9faa608580d6,367292.696987098,367292.80542718107,367302.18413798907,12,300,0.10844008304411545,9.378710807999596
622bb09b-618f-46fe-99e2-8882250ed58c,95516be7-88eb-4c51-a743-42e258b75829,367290.554316053,367290.706306701,367302.217626692,8,300,0.15199064800981432,11.51131999102654
baf4602c-f170-486c-b207-b6ee4dbb0ee5,b24201b1-6e88-4f81-945e-cf982e7f2cc4,367292.767646313,367292.990273155,367302.372626289,313,300,0.22262684197630733,9.382353134045843
1f97adab-d22a-40b7-a82c-96c0cb7e6b9d,1b80c1d2-4ccb-4d8c-a528-1b0eeaee515c,367292.768862929,367292.99531602004,367302.373497073,337,300,0.2264530910179019,9.378181052976288
a79f5fbb-ef5d-42c5-8614-57f72fc19b43,4a384779-ed30-485f-bd83-6b8d24469806,367290.611416708,367290.706546428,367304.607455262,15,300,0.09512971999356523,13.900908834009897
1f052ce7-1a9a-439a-a267-7e67acb0dbd0,be67a331-591e-43c5-99c4-1b563b6d2ccc,367293.284900603,367297.551852096,367304.62292198796,16,300,4.266951492987573,7.071069891972002
829f4f08-8cf5-4701-aca0-dbd7978d3029,2ec3299f-7cf7-4ddb-90a6-ce042f3d656e,367293.356568274,367297.951139641,367305.11263372394,52,300,4.594571367022581,7.161494082945865
0c56a45c-dea2-4fa8-904a-18c9f25f771b,5a3a2497-52b0-4935-9fdf-adb9e404dcbc,367293.418003026,367298.019086211,367305.193530834,21,300,4.6010831849998794,7.174444623000454
b3b5bab3-5159-4665-8997-cfa151d6a64b,0c8298b0-f326-4eae-8b5b-e01d8fbcd556,367293.3931744,367298.01953673596,367305.194901103,13,300,4.626362335984595,7.175364367023576
354542d2-1472-47ab-a7e3-47653a3a175e,05924239-97cf-491b-8c45-b6bcf263a77e,367293.419960392,367298.060682928,367305.243876712,11,300,4.640722536016256,7.183193783974275
07ada6e0-dac6-40c8-b0cb-ed81ff4c6454,a6c51bab-6d01-4dc8-83d9-81d129560dfb,367294.741615315,367298.438562632,367305.716489068,32,300,3.6969473169883713,7.277926435985137
1002d3e0-8e7a-44c7-ad9a-17cd95f9a99d,d238c235-76cd-4164-bbff-341b3f7b1b56,367294.853661569,367298.48327625904,367305.76867227704,67,300,3.6296146900276653,7.2853960180073045
bfd47f85-9aa4-4eb5-a76d-d8030d3ec8c8,66b2442e-e110-4eb2-87b8-8cbf590a8707,367304.400970652,367304.424091994,367306.930050649,51,300,0.023121342004742473,2.5059586549759842
c50fa328-08db-420b-83a3-75dd4cc9ce81,46c4635a-18b7-4ac9-a821-0a8068123818,367304.754418694,367304.833218663,367307.336346827,692,300,0.0787999689928256,2.5031281639821827
b4d1afd1-5004-4690-ad3c-45b6e869b0fe,8d1fb63a-5fa3-4839-b386-3a349d471246,367304.754327698,367304.8825132311,367307.36499386607,1989,300,0.12818553304532543,2.482480634993408
9c8ddc2d-cf4a-43f4-906c-d8a0eb5127d6,f2e20bf3-9246-4974-97ff-0c88f1c5284e,367290.497652809,367290.76863894804,367307.53619058203,1616,300,0.2709861390176229,16.767551633995026
a97519d4-36c1-4cbb-9767-b794cc193261,564a2c1f-68db-4cc9-87de-6a2f80e93c05,367305.406966743,367305.43849567196,367307.91136518196,440,300,0.03152892895741388,2.472869510005694
6f6fcb1a-e344-4d28-ac94-648044fc52ae,92fa3e72-bdd4-4df1-ad49-18c18f3349bb,367305.532876361,367305.570489608,367308.03704364697,16,300,0.03761324699735269,2.466554038983304
017cb010-8c9c-4654-b0c1-1047f2cea324,9c333074-d2ff-48ac-a1f7-08ddda629344,367305.532769583,367305.572097916,367308.039098501,32,300,0.039328332990407944,2.467000584991183
4c2a44bc-4f4a-4b64-a78f-37e32e6e7901,13681364-8e72-42aa-9120-39fc838d331e,367305.532853513,367305.570629792,367308.038780955,5,300,0.03777627897216007,2.4681511630187742
6a9a7da4-d0c4-4c05-a374-2a713ae6fcc8,0dbe5a84-55be-40b1-8950-5775dc78076d,367305.553364438,367305.58053629904,367308.043580907,12,300,0.027171861031092703,2.463044607953634
cbbfb8ad-9919-43b5-a3a9-8fd46f9c1052,6ae3b065-157e-4037-83d6-b69d3ded6599,367305.846107785,367305.876830564,367308.320877899,9,300,0.03072277898900211,2.444047335011419
06834516-48f2-4c1b-99ff-b3b47471cc9d,2d3315c8-2890-4e57-a11b-9eae6ae4731c,367305.858438495,367305.88440401905,367308.32835716504,14,300,0.025965524022467434,2.4439531459938735
f0272b9a-2224-4385-affb-cf1b1bea64fd,01bcbc1f-ce6f-46d0-bafc-71e0c632aaae,367308.044894935,367308.06524097803,367310.381688145,23,300,0.02034604304935783,2.316447166958824
fcd94050-5aff-4d00-8733-5e0927024fec,7f55ab96-ff9c-4bbf-9ce9-36046892ad1c,367292.366139664,367292.58645168506,367312.69909649907,5,300,0.2203120210324414,20.112644814013038
3128e02b-fa7a-4212-8084-35e3920b5861,350350ba-2bbf-4c2b-859e-bca13ddcb155,367292.382581987,367296.049935469,367313.853878259,439,300,3.6673534819856286,17.80394279002212
4751138d-2dcf-4b8c-a7db-5233685fc73f,ac8a39b4-7c9a-486b-86a1-6ccfcabaa3c8,367298.775038762,367305.76750131504,367313.939620144,20,300,6.992462553025689,8.172118828981183
cd8a0147-786c-46b0-b846-a24386ab54b3,4d9d591e-f38d-41f6-adc4-b00ba616c4d0,367298.740114686,367305.76773026306,367313.93974249705,11,300,7.027615577040706,8.172012233990245
07e80a52-0895-46b2-80f4-dc0a83fe2609,85553300-36e5-42d0-9557-ee80a5c1b80c,367298.828561655,367305.795030595,367314.35539517,22,300,6.966468939965125,8.560364575008862
87b76797-cade-40fe-9f83-8a7f0ada450a,4a2b83c9-c81b-44e4-9781-340378b38438,367314.609445055,367314.63280722004,367317.236071367,86,300,0.02336216502590105,2.603264146950096
b5a75b74-dcd0-4b26-aad8-a36512a81e7f,d14d02e0-512d-4a2c-9012-fdce015a015a,367299.409709266,367309.183853066,367317.25878261495,15,300,9.774143800023012,8.074929548951332
6a748863-4ff9-4693-a60f-455d910fde11,468731b3-8533-4bf4-af07-8fd75c4bbd44,367299.409623533,367309.184462296,367317.259818996,32,300,9.774838762998115,8.075356699991971
eeafff02-feda-409b-92cd-b53f9a3a7014,a2c824f8-ea82-4155-8009-f848c7ef8734,367299.42007504,367309.20863309706,367317.329608109,17,300,9.788558057043701,8.120975011959672
201a9f3f-e7f1-407d-bd85-4ca50cea262f,6164c5ce-d311-48aa-b17e-8bbeb8fb5fef,367314.693826959,367314.73146589904,367317.33359186,7,300,0.03763894003350288,2.6021259609842673
be40e9e6-994a-457d-bd93-5c104c81598d,1a5a1fc1-3b3d-4f42-851f-1a2d78946372,367314.693738568,367314.740049417,367317.342256453,537,300,0.04631084902212024,2.602207035990432
6a719f09-4409-4041-8ec3-70617725a80e,9cfd5e3d-c2b3-4e58-b985-3c6ae5e7f6f7,367314.724714967,367314.747821166,367317.350519367,9,300,0.02310619899071753,2.6026982010225765
cea3bf7f-594c-42c8-ad62-1410068eae3c,4003db23-8f9a-4445-8e21-5d2ec1f3a72c,367299.419985148,367309.277245352,367317.399220491,32,300,9.857260203978512,8.121975139016286
5c910dd7-3451-4e91-b1a5-683feb36f6c4,a68bb7ea-1295-4ff0-81bd-7c72909e5cb9,367299.479746444,367309.278684768,367317.399969454,12,300,9.79893832403468,8.12128468597075
e8fcea56-799b-40f6-a458-9216d92384a9,b4a38c47-e012-488d-88ff-bed9cd96dec2,367299.544509912,367309.663657377,367317.472286385,5,300,10.119147464982234,7.80862900801003
e8c81d49-3d37-4db5-a05d-6d6f5d875672,9f93502c-ccfe-4d56-927c-2ee9e87796cf,367314.871814326,367314.89697470097,367317.51338617096,149,300,0.02516037499299273,2.6164114699931815
fc4f0f15-1b5e-4b8c-8600-cbb779546b45,41560d13-6b72-4aed-96be-0d8e30ae2238,367315.019672066,367315.045749738,367317.673970862,8,300,0.02607767202425748,2.6282211240031756
