request_id,conversation_id,send_time,ttft_time,total_time,tokens_in,tokens_out,ttft,tpot
44cc76d4-342b-4d71-bba1-31a5b334f357,f2de0b63-165f-45fe-a5a2-35c4de3d4fd2,349293.297356138,349293.581836312,349296.227431893,2580,300,0.28448017401387915,2.645595580979716
16b9adf3-d0bb-47a8-a73d-69eb45ab37cd,f6e9b11c-5c8a-4391-a886-d683dd62318d,349293.49334853,349293.581444117,349296.227550121,1813,300,0.08809558697976172,2.646106004016474
78e828f4-1c93-4fc3-89b1-5f3c7ae8cb38,f26705f6-1145-4853-8e56-d5c8ad3a8a6e,349294.806108234,349294.824834175,349297.42330492096,25,300,0.018725941015873104,2.5984707459574565
80795382-be02-471f-92f3-7aff4e5cfd11,d734c503-89a9-4f7a-aa99-ebe978223d30,349295.010347504,349295.03464360797,349297.656378877,4,300,0.024296103976666927,2.621735269029159
09e930f1-8bc3-46d2-a393-48694904b400,588b1579-8f0d-414e-9a51-ff15861c33b5,349295.019825465,349295.045079232,349297.665416281,35,300,0.025253767031244934,2.6203370489529334
fa67bd5e-4da9-4077-b0ab-711b234e3651,03e57e80-a2f6-4c62-af48-d61554c71343,349295.035987946,349295.062974418,349297.837988426,76,300,0.026986472017597407,2.77501400798792
e0f5cbcc-2ffe-4bbb-ab4a-3fee569e9926,cd563744-58c8-44d1-9ee5-01f7c2482cb8,349295.324721975,349295.352181475,349297.981565602,727,300,0.027459500008262694,2.6293841269798577
5ed9f960-84a4-48e9-8194-7ec55323fcd9,4151fa1c-0a68-4214-b5fc-48d665e7d522,349295.48552888,349295.506848268,349298.130888988,15,300,0.021319388004485518,2.6240407199948095
95d11904-0dc4-48bf-8ee3-8daff932434d,59b29c65-a98b-4b7c-9007-12f3d7c0edf2,349295.576922395,349295.67511612095,349298.272639989,1828,300,0.09819372597848997,2.597523868025746
f709b15f-4c0b-4665-8959-397b6803ea5a,61bbf449-eebc-461e-bbed-5d5a3daa74a2,349297.516368096,349297.54980959,349300.039602416,21,300,0.033441493986174464,2.489792826003395
4b90e040-470e-4cc9-a238-6b578f82bda3,f5a6e7d8-de59-4284-a1c5-3dd263126e96,349297.515032515,349297.61377420195,349300.088025558,1764,300,0.09874168696114793,2.474251356034074
ddd9ebd3-3cf5-4306-9c55-7c887df153fc,59cd1a2d-93aa-44cd-b040-52fd846280d1,349297.772167295,349297.794453872,349300.255461299,361,300,0.022286577033810318,2.461007426958531
568323fd-9161-40ae-84dc-ffd698d257e6,646ce1bf-f9fc-47c7-8603-f5a4df5f6555,349297.891868737,349297.914554707,349300.364669955,176,300,0.02268597000511363,2.450115247978829
a7ef555f-a449-4724-857a-f0533dff00e7,db169e2a-f061-4c1e-8c1c-4606bbf4815c,349295.010268994,349295.177397866,349300.551433071,341,300,0.16712887195171788,5.374035205051769
7be82710-cfc7-4127-a158-52f02f47f855,df748cda-dda6-4701-a1a4-b0744ea4f8b9,349298.471406067,349298.492626714,349300.931791144,9,300,0.02122064697323367,2.4391644300194457
a43c1a4b-2dea-418c-a972-533eba3f44c0,a57b9f64-b0f2-4f8f-87ce-a2f195b11e80,349298.59644052,349298.618298601,349301.050927521,21,300,0.02185808098874986,2.4326289200107567
000268e4-f7bc-4ac8-8216-73d866c168c6,19e9c215-5501-428e-b97e-30e1e2132fe5,349294.975828857,349295.156583777,349302.29600009,315,300,0.18075492000207305,7.139416313031688
4cfa871d-6010-46aa-bc93-27fa82ed4381,c49eb4ff-d7ab-40c6-9ab1-b32f47a68b79,349300.090515092,349300.11170755303,349302.740546733,114,300,0.02119246101938188,2.628839179989882
0f276126-83b4-4e2f-807a-f73176ddd0bf,e92100d2-eca7-4a50-82aa-534ed3e7ab8a,349300.619256582,349300.64234226797,349303.035567188,166,300,0.023085685970727354,2.393224920029752
